,subject,predicate,object
251,15754929,TenureOf,10
252,15754929,hasEstimatedSalaryOf,192519.39
253,15684645,hasCreditScoreOf,704
254,15684645,hasGender,Male
255,15684645,isAge,41
256,15684645,inCountry,Germany
257,15684645,hasBalance,62078.21
258,15684645,hasNumberOfProducts,2
259,15684645,hasCreditCard,True
260,15684645,IsActiveMember,False
261,15684645,hasChurned,False
262,15684645,TenureOf,9
263,15684645,hasEstimatedSalaryOf,129050.67
264,15748532,hasCreditScoreOf,828
265,15748532,hasGender,Male
266,15748532,isAge,42
267,15748532,inCountry,Spain
268,15748532,hasBalance,0.0
269,15748532,hasNumberOfProducts,1
270,15748532,hasCreditCard,True
271,15748532,IsActiveMember,True
272,15748532,hasChurned,False
273,15748532,TenureOf,10
274,15748532,hasEstimatedSalaryOf,186071.14
275,15736371,hasCreditScoreOf,633
276,15736371,hasGender,Female
277,15736371,isAge,34
278,15736371,inCountry,France
279,15736371,hasBalance,123034.43
280,15736371,hasNumberOfProducts,2
281,15736371,hasCreditCard,True
282,15736371,IsActiveMember,True
283,15736371,hasChurned,False
284,15736371,TenureOf,3
285,15736371,hasEstimatedSalaryOf,38315.04
286,15619932,hasCreditScoreOf,847
287,15619932,hasGender,Male
288,15619932,isAge,66
289,15619932,inCountry,France
290,15619932,hasBalance,123760.68
291,15619932,hasNumberOfProducts,1
292,15619932,hasCreditCard,False
293,15619932,IsActiveMember,True
294,15619932,hasChurned,False
295,15619932,TenureOf,7
296,15619932,hasEstimatedSalaryOf,53157.16
297,15602479,hasCreditScoreOf,609
298,15602479,hasGender,Male
299,15602479,isAge,37
300,15602479,inCountry,Spain
301,15602479,hasBalance,129312.79
302,15602479,hasNumberOfProducts,1
303,15602479,hasCreditCard,True
304,15602479,IsActiveMember,True
305,15602479,hasChurned,False
306,15602479,TenureOf,5
307,15602479,hasEstimatedSalaryOf,26793.82
308,15705515,hasCreditScoreOf,587
309,15705515,hasGender,Male
310,15705515,isAge,40
311,15705515,inCountry,Germany
312,15705515,hasBalance,138241.9
313,15705515,hasNumberOfProducts,2
314,15705515,hasCreditCard,True
315,15705515,IsActiveMember,False
316,15705515,hasChurned,False
317,15705515,TenureOf,5
318,15705515,hasEstimatedSalaryOf,159418.1
319,15728005,hasCreditScoreOf,698
320,15728005,hasGender,Female
321,15728005,isAge,57
322,15728005,inCountry,France
323,15728005,hasBalance,111359.55
324,15728005,hasNumberOfProducts,2
325,15728005,hasCreditCard,True
326,15728005,IsActiveMember,False
327,15728005,hasChurned,False
328,15728005,TenureOf,9
329,15728005,hasEstimatedSalaryOf,105715.01
330,15596021,hasCreditScoreOf,598
331,15596021,hasGender,Male
332,15596021,isAge,44
333,15596021,inCountry,Spain
334,15596021,hasBalance,0.0
335,15596021,hasNumberOfProducts,2
336,15596021,hasCreditCard,True
337,15596021,IsActiveMember,False
338,15596021,hasChurned,False
339,15596021,TenureOf,8
340,15596021,hasEstimatedSalaryOf,148487.9
341,15701932,hasCreditScoreOf,586
342,15701932,hasGender,Female
343,15701932,isAge,52
344,15701932,inCountry,France
345,15701932,hasBalance,140900.97
346,15701932,hasNumberOfProducts,1
347,15701932,hasCreditCard,True
348,15701932,IsActiveMember,True
349,15701932,hasChurned,False
350,15701932,TenureOf,6
351,15701932,hasEstimatedSalaryOf,67288.89
352,15674254,hasCreditScoreOf,554
353,15674254,hasGender,Female
354,15674254,isAge,45
355,15674254,inCountry,Spain
356,15674254,hasBalance,0.0
357,15674254,hasNumberOfProducts,2
358,15674254,hasCreditCard,True
359,15674254,IsActiveMember,True
360,15674254,hasChurned,False
361,15674254,TenureOf,4
362,15674254,hasEstimatedSalaryOf,193412.05
363,15813871,hasCreditScoreOf,690
364,15813871,hasGender,Male
365,15813871,isAge,47
366,15813871,inCountry,France
367,15813871,hasBalance,0.0
368,15813871,hasNumberOfProducts,2
369,15813871,hasCreditCard,True
370,15813871,IsActiveMember,False
371,15813871,hasChurned,False
372,15813871,TenureOf,2
373,15813871,hasEstimatedSalaryOf,151375.73
374,15781034,hasCreditScoreOf,796
375,15781034,hasGender,Male
376,15781034,isAge,67
377,15781034,inCountry,Spain
378,15781034,hasBalance,0.0
379,15781034,hasNumberOfProducts,2
380,15781034,hasCreditCard,False
381,15781034,IsActiveMember,True
382,15781034,hasChurned,False
383,15781034,TenureOf,5
384,15781034,hasEstimatedSalaryOf,54871.02
385,15773876,hasCreditScoreOf,655
386,15773876,hasGender,Female
387,15773876,isAge,34
388,15773876,inCountry,France
389,15773876,hasBalance,0.0
390,15773876,hasNumberOfProducts,2
391,15773876,hasCreditCard,True
392,15773876,IsActiveMember,False
393,15773876,hasChurned,False
394,15773876,TenureOf,3
395,15773876,hasEstimatedSalaryOf,159638.77
396,15644934,hasCreditScoreOf,466
397,15644934,hasGender,Male
398,15644934,isAge,26
399,15644934,inCountry,France
400,15644934,hasBalance,105522.06
401,15644934,hasNumberOfProducts,1
402,15644934,hasCreditCard,True
403,15644934,IsActiveMember,False
404,15644934,hasChurned,False
405,15644934,TenureOf,9
406,15644934,hasEstimatedSalaryOf,10842.46
407,15657214,hasCreditScoreOf,601
408,15657214,hasGender,Male
409,15657214,isAge,74
410,15657214,inCountry,France
411,15657214,hasBalance,0.0
412,15657214,hasNumberOfProducts,2
413,15657214,hasCreditCard,False
414,15657214,IsActiveMember,True
415,15657214,hasChurned,False
416,15657214,TenureOf,2
417,15657214,hasEstimatedSalaryOf,51554.58
418,15682084,hasCreditScoreOf,680
419,15682084,hasGender,Male
420,15682084,isAge,31
421,15682084,inCountry,France
422,15682084,hasBalance,0.0
423,15682084,hasNumberOfProducts,2
424,15682084,hasCreditCard,True
425,15682084,IsActiveMember,False
426,15682084,hasChurned,False
427,15682084,TenureOf,9
428,15682084,hasEstimatedSalaryOf,36145.53
429,15584288,hasCreditScoreOf,629
430,15584288,hasGender,Female
431,15584288,isAge,33
432,15584288,inCountry,France
433,15584288,hasBalance,0.0
434,15584288,hasNumberOfProducts,2
435,15584288,hasCreditCard,True
436,15584288,IsActiveMember,True
437,15584288,hasChurned,False
438,15584288,TenureOf,6
439,15584288,hasEstimatedSalaryOf,59129.72
440,15801441,hasCreditScoreOf,670
441,15801441,hasGender,Female
442,15801441,isAge,35
443,15801441,inCountry,Germany
444,15801441,hasBalance,79585.96
445,15801441,hasNumberOfProducts,1
446,15801441,hasCreditCard,False
447,15801441,IsActiveMember,True
448,15801441,hasChurned,False
449,15801441,TenureOf,2
450,15801441,hasEstimatedSalaryOf,198802.9
451,15577657,hasCreditScoreOf,732
452,15577657,hasGender,Male
453,15577657,isAge,41
454,15577657,inCountry,France
455,15577657,hasBalance,0.0
456,15577657,hasNumberOfProducts,2
457,15577657,hasCreditCard,True
458,15577657,IsActiveMember,True
459,15577657,hasChurned,False
460,15577657,TenureOf,8
461,15577657,hasEstimatedSalaryOf,170886.17
462,15767722,hasCreditScoreOf,593
463,15767722,hasGender,Female
464,15767722,isAge,39
465,15767722,inCountry,France
466,15767722,hasBalance,117704.73
467,15767722,hasNumberOfProducts,1
468,15767722,hasCreditCard,True
469,15767722,IsActiveMember,False
470,15767722,hasChurned,False
471,15767722,TenureOf,0
472,15767722,hasEstimatedSalaryOf,197933.5
473,15745417,hasCreditScoreOf,707
474,15745417,hasGender,Male
475,15745417,isAge,58
476,15745417,inCountry,France
477,15745417,hasBalance,89685.92
478,15745417,hasNumberOfProducts,1
479,15745417,hasCreditCard,False
480,15745417,IsActiveMember,True
481,15745417,hasChurned,False
482,15745417,TenureOf,6
483,15745417,hasEstimatedSalaryOf,126471.13
484,15662865,hasCreditScoreOf,658
485,15662865,hasGender,Male
486,15662865,isAge,36
487,15662865,inCountry,Spain
488,15662865,hasBalance,0.0
489,15662865,hasNumberOfProducts,2
490,15662865,hasCreditCard,False
491,15662865,IsActiveMember,True
492,15662865,hasChurned,False
493,15662865,TenureOf,1
494,15662865,hasEstimatedSalaryOf,84927.42
495,15645136,hasCreditScoreOf,744
496,15645136,hasGender,Male
497,15645136,isAge,30
498,15645136,inCountry,Spain
499,15645136,hasBalance,128065.12
500,15645136,hasNumberOfProducts,1
501,15645136,hasCreditCard,True
502,15645136,IsActiveMember,False
503,15645136,hasChurned,False
504,15645136,TenureOf,1
505,15645136,hasEstimatedSalaryOf,121525.48
506,15710397,hasCreditScoreOf,584
507,15710397,hasGender,Male
508,15710397,isAge,26
509,15710397,inCountry,France
510,15710397,hasBalance,0.0
511,15710397,hasNumberOfProducts,2
512,15710397,hasCreditCard,True
513,15710397,IsActiveMember,False
514,15710397,hasChurned,False
515,15710397,TenureOf,4
516,15710397,hasEstimatedSalaryOf,147600.54
517,15605215,hasCreditScoreOf,767
518,15605215,hasGender,Male
519,15605215,isAge,48
520,15605215,inCountry,France
521,15605215,hasBalance,0.0
522,15605215,hasNumberOfProducts,2
523,15605215,hasCreditCard,False
524,15605215,IsActiveMember,True
525,15605215,hasChurned,False
526,15605215,TenureOf,9
527,15605215,hasEstimatedSalaryOf,175458.21
528,15656322,hasCreditScoreOf,571
529,15656322,hasGender,Male
530,15656322,isAge,33
531,15656322,inCountry,Germany
532,15656322,hasBalance,71843.15
533,15656322,hasNumberOfProducts,1
534,15656322,hasCreditCard,True
535,15656322,IsActiveMember,False
536,15656322,hasChurned,False
537,15656322,TenureOf,3
538,15656322,hasEstimatedSalaryOf,26772.04
539,15693259,hasCreditScoreOf,676
540,15693259,hasGender,Male
541,15693259,isAge,30
542,15693259,inCountry,France
543,15693259,hasBalance,128207.23
544,15693259,hasNumberOfProducts,1
545,15693259,hasCreditCard,True
546,15693259,IsActiveMember,True
547,15693259,hasChurned,False
548,15693259,TenureOf,1
549,15693259,hasEstimatedSalaryOf,55400.17
550,15814268,hasCreditScoreOf,444
551,15814268,hasGender,Female
552,15814268,isAge,40
553,15814268,inCountry,France
554,15814268,hasBalance,84350.07
555,15814268,hasNumberOfProducts,1
556,15814268,hasCreditCard,True
557,15814268,IsActiveMember,False
558,15814268,hasChurned,False
559,15814268,TenureOf,5
560,15814268,hasEstimatedSalaryOf,143835.76
561,15642093,hasCreditScoreOf,646
562,15642093,hasGender,Male
563,15642093,isAge,30
564,15642093,inCountry,France
565,15642093,hasBalance,0.0
566,15642093,hasNumberOfProducts,2
567,15642093,hasCreditCard,True
568,15642093,IsActiveMember,False
569,15642093,hasChurned,False
570,15642093,TenureOf,7
571,15642093,hasEstimatedSalaryOf,153566.97
572,15625904,hasCreditScoreOf,624
573,15625904,hasGender,Male
574,15625904,isAge,26
575,15625904,inCountry,France
576,15625904,hasBalance,74681.9
577,15625904,hasNumberOfProducts,2
578,15625904,hasCreditCard,False
579,15625904,IsActiveMember,False
580,15625904,hasChurned,False
581,15625904,TenureOf,9
582,15625904,hasEstimatedSalaryOf,31231.35
583,15803406,hasCreditScoreOf,748
584,15803406,hasGender,Female
585,15803406,isAge,26
586,15803406,inCountry,France
587,15803406,hasBalance,77780.29
588,15803406,hasNumberOfProducts,1
589,15803406,hasCreditCard,False
590,15803406,IsActiveMember,True
591,15803406,hasChurned,False
592,15803406,TenureOf,1
593,15803406,hasEstimatedSalaryOf,183049.41
594,15656029,hasCreditScoreOf,609
595,15656029,hasGender,Male
596,15656029,isAge,37
597,15656029,inCountry,France
598,15656029,hasBalance,0.0
599,15656029,hasNumberOfProducts,2
600,15656029,hasCreditCard,False
601,15656029,IsActiveMember,True
602,15656029,hasChurned,False
603,15656029,TenureOf,6
604,15656029,hasEstimatedSalaryOf,22030.72
605,15794187,hasCreditScoreOf,695
606,15794187,hasGender,Male
607,15794187,isAge,36
608,15794187,inCountry,France
609,15794187,hasBalance,114007.5
610,15794187,hasNumberOfProducts,2
611,15794187,hasCreditCard,True
612,15794187,IsActiveMember,False
613,15794187,hasChurned,False
614,15794187,TenureOf,6
615,15794187,hasEstimatedSalaryOf,118120.88
616,15775082,hasCreditScoreOf,749
617,15775082,hasGender,Male
618,15775082,isAge,42
619,15775082,inCountry,France
620,15775082,hasBalance,129776.72
621,15775082,hasNumberOfProducts,2
622,15775082,hasCreditCard,False
623,15775082,IsActiveMember,True
624,15775082,hasChurned,False
625,15775082,TenureOf,1
626,15775082,hasEstimatedSalaryOf,143538.51
627,15791172,hasCreditScoreOf,672
628,15791172,hasGender,Female
629,15791172,isAge,21
630,15791172,inCountry,Germany
631,15791172,hasBalance,35741.69
632,15791172,hasNumberOfProducts,1
633,15791172,hasCreditCard,True
634,15791172,IsActiveMember,False
635,15791172,hasChurned,False
636,15791172,TenureOf,1
637,15791172,hasEstimatedSalaryOf,28789.94
638,15572356,hasCreditScoreOf,689
639,15572356,hasGender,Male
640,15572356,isAge,73
641,15572356,inCountry,Spain
642,15572356,hasBalance,108555.07
643,15572356,hasNumberOfProducts,1
644,15572356,hasCreditCard,False
645,15572356,IsActiveMember,True
646,15572356,hasChurned,False
647,15572356,TenureOf,1
648,15572356,hasEstimatedSalaryOf,167969.15
649,15764892,hasCreditScoreOf,590
650,15764892,hasGender,Female
651,15764892,isAge,51
652,15764892,inCountry,Spain
653,15764892,hasBalance,84474.62
654,15764892,hasNumberOfProducts,2
655,15764892,hasCreditCard,True
656,15764892,IsActiveMember,True
657,15764892,hasChurned,False
658,15764892,TenureOf,10
659,15764892,hasEstimatedSalaryOf,190937.09
660,15704081,hasCreditScoreOf,595
661,15704081,hasGender,Male
662,15704081,isAge,30
663,15704081,inCountry,Germany
664,15704081,hasBalance,130682.11
665,15704081,hasNumberOfProducts,2
666,15704081,hasCreditCard,True
667,15704081,IsActiveMember,True
668,15704081,hasChurned,False
669,15704081,TenureOf,9
670,15704081,hasEstimatedSalaryOf,57862.88
671,15620103,hasCreditScoreOf,660
672,15620103,hasGender,Female
673,15620103,isAge,40
674,15620103,inCountry,France
675,15620103,hasBalance,167181.01
676,15620103,hasNumberOfProducts,1
677,15620103,hasCreditCard,True
678,15620103,IsActiveMember,True
679,15620103,hasChurned,False
680,15620103,TenureOf,8
681,15620103,hasEstimatedSalaryOf,185156.94
682,15627328,hasCreditScoreOf,542
683,15627328,hasGender,Female
684,15627328,isAge,26
685,15627328,inCountry,Spain
686,15627328,hasBalance,0.0
687,15627328,hasNumberOfProducts,2
688,15627328,hasCreditCard,True
689,15627328,IsActiveMember,True
690,15627328,hasChurned,False
691,15627328,TenureOf,2
692,15627328,hasEstimatedSalaryOf,54869.54
693,15639252,hasCreditScoreOf,603
694,15639252,hasGender,Male
695,15639252,isAge,30
696,15639252,inCountry,Spain
697,15639252,hasBalance,129548.5
698,15639252,hasNumberOfProducts,2
699,15639252,hasCreditCard,True
700,15639252,IsActiveMember,True
701,15639252,hasChurned,False
702,15639252,TenureOf,6
703,15639252,hasEstimatedSalaryOf,19282.85
704,15670943,hasCreditScoreOf,778
705,15670943,hasGender,Male
706,15670943,isAge,31
707,15670943,inCountry,Germany
708,15670943,hasBalance,182275.23
709,15670943,hasNumberOfProducts,2
710,15670943,hasCreditCard,True
711,15670943,IsActiveMember,False
712,15670943,hasChurned,False
713,15670943,TenureOf,9
714,15670943,hasEstimatedSalaryOf,190631.23
715,15643826,hasCreditScoreOf,503
716,15643826,hasGender,Male
717,15643826,isAge,32
718,15643826,inCountry,France
719,15643826,hasBalance,0.0
720,15643826,hasNumberOfProducts,2
721,15643826,hasCreditCard,True
722,15643826,IsActiveMember,True
723,15643826,hasChurned,False
724,15643826,TenureOf,4
725,15643826,hasEstimatedSalaryOf,153036.97
726,15763579,hasCreditScoreOf,702
727,15763579,hasGender,Female
728,15763579,isAge,36
729,15763579,inCountry,Germany
730,15763579,hasBalance,105264.88
731,15763579,hasNumberOfProducts,2
732,15763579,hasCreditCard,True
733,15763579,IsActiveMember,True
734,15763579,hasChurned,False
735,15763579,TenureOf,2
736,15763579,hasEstimatedSalaryOf,52909.87
737,15679813,hasCreditScoreOf,727
738,15679813,hasGender,Male
739,15679813,isAge,28
740,15679813,inCountry,Spain
741,15679813,hasBalance,0.0
742,15679813,hasNumberOfProducts,1
743,15679813,hasCreditCard,True
744,15679813,IsActiveMember,False
745,15679813,hasChurned,False
746,15679813,TenureOf,1
747,15679813,hasEstimatedSalaryOf,40357.39
748,15706552,hasCreditScoreOf,533
749,15706552,hasGender,Male
750,15706552,isAge,36
751,15706552,inCountry,France
752,15706552,hasBalance,85311.7
753,15706552,hasNumberOfProducts,1
754,15706552,hasCreditCard,False
755,15706552,IsActiveMember,True
756,15706552,hasChurned,False
757,15706552,TenureOf,7
758,15706552,hasEstimatedSalaryOf,156731.91
759,15652948,hasCreditScoreOf,738
760,15652948,hasGender,Male
761,15652948,isAge,33
762,15652948,inCountry,France
763,15652948,hasBalance,92676.3
764,15652948,hasNumberOfProducts,1
765,15652948,hasCreditCard,True
766,15652948,IsActiveMember,False
767,15652948,hasChurned,False
768,15652948,TenureOf,4
769,15652948,hasEstimatedSalaryOf,105817.63
770,15657881,hasCreditScoreOf,784
771,15657881,hasGender,Male
772,15657881,isAge,38
773,15657881,inCountry,France
774,15657881,hasBalance,136712.91
775,15657881,hasNumberOfProducts,1
776,15657881,hasCreditCard,False
777,15657881,IsActiveMember,True
778,15657881,hasChurned,False
779,15657881,TenureOf,5
780,15657881,hasEstimatedSalaryOf,169920.92
781,15735346,hasCreditScoreOf,527
782,15735346,hasGender,Female
783,15735346,isAge,41
784,15735346,inCountry,Germany
785,15735346,hasBalance,136733.24
786,15735346,hasNumberOfProducts,1
787,15735346,hasCreditCard,True
788,15735346,IsActiveMember,True
789,15735346,hasChurned,False
790,15735346,TenureOf,10
791,15735346,hasEstimatedSalaryOf,57589.29
792,15677117,hasCreditScoreOf,629
793,15677117,hasGender,Female
794,15677117,isAge,61
795,15677117,inCountry,France
796,15677117,hasBalance,0.0
797,15677117,hasNumberOfProducts,2
798,15677117,hasCreditCard,True
799,15677117,IsActiveMember,True
800,15677117,hasChurned,False
801,15677117,TenureOf,6
802,15677117,hasEstimatedSalaryOf,133672.61
803,15805212,hasCreditScoreOf,806
804,15805212,hasGender,Female
805,15805212,isAge,67
806,15805212,inCountry,France
807,15805212,hasBalance,0.0
808,15805212,hasNumberOfProducts,2
809,15805212,hasCreditCard,False
810,15805212,IsActiveMember,True
811,15805212,hasChurned,False
812,15805212,TenureOf,1
813,15805212,hasEstimatedSalaryOf,103945.58
814,15698664,hasCreditScoreOf,567
815,15698664,hasGender,Male
816,15698664,isAge,43
817,15698664,inCountry,Spain
818,15698664,hasBalance,115643.58
819,15698664,hasNumberOfProducts,2
820,15698664,hasCreditCard,False
821,15698664,IsActiveMember,False
822,15698664,hasChurned,False
823,15698664,TenureOf,2
824,15698664,hasEstimatedSalaryOf,174606.35
825,15763171,hasCreditScoreOf,650
826,15763171,hasGender,Female
827,15763171,isAge,25
828,15763171,inCountry,Germany
829,15763171,hasBalance,114330.95
830,15763171,hasNumberOfProducts,1
831,15763171,hasCreditCard,True
832,15763171,IsActiveMember,True
833,15763171,hasChurned,False
834,15763171,TenureOf,2
835,15763171,hasEstimatedSalaryOf,25325.07
836,15686255,hasCreditScoreOf,738
837,15686255,hasGender,Male
838,15686255,isAge,35
839,15686255,inCountry,Germany
840,15686255,hasBalance,101744.84
841,15686255,hasNumberOfProducts,1
842,15686255,hasCreditCard,False
843,15686255,IsActiveMember,False
844,15686255,hasChurned,False
845,15686255,TenureOf,6
846,15686255,hasEstimatedSalaryOf,85185.44
847,15810878,hasCreditScoreOf,537
848,15810878,hasGender,Female
849,15810878,isAge,38
850,15810878,inCountry,Spain
851,15810878,hasBalance,141786.78
852,15810878,hasNumberOfProducts,1
853,15810878,hasCreditCard,False
854,15810878,IsActiveMember,True
855,15810878,hasChurned,False
856,15810878,TenureOf,6
